ID;xstart;ystart;xend;yend
3976;508413.1165;5287295.898;508288.3606;5287495.117
3977;508909.0271;5287837.402;508828.064;5288019.043
3978;508601.0437;5287784.18;508496.3074;5288013.184
3979;508095.0317;5288215.82;507864.502;5288638.184
3980;508973.4497;5288076.172;508891.2048;5288498.047
3981;509374.8779;5288538.574;509279.5715;5288691.406
3982;507985.1379;5288820.313;507851.2573;5288976.563
3983;507779.9683;5289041.504;507635.6506;5289401.367
3984;507693.0847;5288873.047;507479.95;5289139.16
3985;507894.6838;5288718.262;507763.3362;5288929.688
3986;507573.8525;5288606.445;507352.9053;5288865.723
3987;507934.2041;5289608.398;507723.7244;5289818.848
3988;507434.1125;5289186.035;507230.896;5289532.227
3989;507491.8518;5289565.918;507301.5747;5289756.348
3990;507062.1033;5289573.731;506887.9395;5289731.934
3991;507079.2542;5289226.563;506987.7625;5289471.191
3992;506919.7998;5289267.578;506724.2126;5289424.805
3993;506789.093;5289454.59;506624.115;5289618.164
3994;506839.325;5289084.473;506606.4148;5289378.418
3995;506131.1951;5289400.391;505994.9341;5289673.34
3996;506106.9946;5288861.328;505915.1001;5289150.879
3997;506143.4326;5288579.102;505989.9597;5288815.918
3998;506327.9419;5288581.055;506172.7905;5288832.52
3999;506352.2034;5288862.305;506100.1587;5289162.598
4000;506721.0693;5288698.731;506582.9163;5288978.516
4001;506364.2883;5290337.402;506259.2468;5290519.531
4002;506703.2166;5290099.121;506596.7407;5290292.481
4003;505776.9775;5289146.484;505664.4287;5289324.707
4004;505825.592;5288838.379;505679.2603;5289057.129
4005;507093.811;5288203.125;506854.9194;5288588.379
4006;506626.8616;5287968.262;506528.7781;5288147.949
4007;506870.3308;5287455.078;506631.2256;5287693.848
4008;506718.811;5287325.684;506468.9636;5287625
4009;506671.5698;5286798.34;506421.6003;5287040.039
4010;506348.3887;5286865.234;506090.0269;5287169.434
4011;505839.0503;5286594.727;505617.218;5286743.652
4012;505454.4067;5287107.422;505103.0273;5287147.949
4013;505625.824;5287557.617;505250.4883;5287784.668
4014;506001.8005;5287708.496;505678.3752;5288022.949
4015;506276.3672;5287618.652;506051.5137;5288001.465
4016;505887.2375;5287998.535;505696.4417;5288157.715
4017;505559.2957;5287945.313;505434.021;5288255.859
4018;506007.2632;5288198.731;505771.5149;5288358.398
4019;505403.9612;5288397.461;505274.292;5288773.438
4020;504947.3267;5289067.383;504877.5024;5289213.379
4021;505228.5156;5288914.063;505111.6333;5289200.684
4022;504858.5205;5288106.445;504730.4382;5288266.113
4024;506450.0122;5288430.176;506358.0322;5288562.012
4025;505156.3721;5285355.957;504655.304;5285560.547
4026;504582.489;5285821.289;504204.6814;5285933.106
4027;504542.511;5285296.875;504025.4517;5285430.176
4028;505336.9446;5284898.438;504866.1499;5285058.594
4029;504218.2312;5286334.961;503772.3999;5286479.004
4030;502743.2861;5286958.008;502270.2026;5287259.766
4031;503039.2456;5287043.945;502572.2351;5287510.742
4032;503274.0479;5287011.231;502985.3516;5287343.75
4033;501867.4011;5287289.551;501364.1052;5287511.719
4034;502428.772;5287384.766;502116.8518;5287631.348
4035;501223.053;5287335.938;500801.5747;5287468.75
4036;501201.9043;5287544.434;500935.6079;5287792.481
4037;503047.7905;5288027.832;502896.9727;5288287.109
4038;503356.5674;5287966.309;503221.0693;5288240.234
4039;504044.4336;5286986.816;503880.188;5287286.621
4040;503616.272;5287238.77;503403.4424;5287586.426
4041;504184.5703;5287971.191;503796.6614;5288352.051
4042;503743.5303;5287953.125;503474.4263;5288290.039
4043;502298.5535;5289420.41;502020.752;5289648.926
4044;538746.2769;5293470.215;538918.7622;5294360.84
4045;539300.8423;5294507.324;539454.6509;5294861.328
4046;538800.293;5294858.887;538952.4536;5295094.238
4047;539338.0737;5296141.602;539463.0127;5296394.531
4048;539603.6987;5296196.289;539796.6309;5296569.824
